;database_title;city;views;downloads;last_updated;download_link;description
472;2014 Census - Dwelling Unit Status (Citywide) ; edmonton  ;218;183;2016-09-13 17:14:28+00:00;  https://data.edmonton.ca/d/p9jj-5vdm ;2014 Census - Dwelling Unit Status (Citywide) - All Census information is as of April 1, 2014. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).
473;2014 Census - Previous Residence If Less Than One Year (Citywide) ; edmonton  ;217;200;2016-09-13 16:56:05+00:00;  https://data.edmonton.ca/d/9yfd-ugpc ;2014 Census - Previous Residence If Less Than One Year (Citywide) - All Census information is as of April 1, 2014. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).
474;2012 Census - Dwelling Units By Structure Type And Occupancy (Citywide) ; edmonton  ;216;197;2016-09-13 16:33:57+00:00;  https://data.edmonton.ca/d/xiut-24bw ;2012 Census - Dwelling Units By Structure Type And Occupancy (Citywide) - All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).
475;Open Data Budget - Capital Details (2015) ; edmonton  ;216;280;2016-01-20 22:24:53+00:00;  https://data.edmonton.ca/d/r993-376i ;Open Data Budget - Capital Details (2015) - Summary of the City of Edmonton's Financial Capital Budget Details by Service, Branch, and Profile.
476;2014 Census - Dwelling Units By Structure Type And Ownership (Citywide) ; edmonton  ;215;218;2016-09-13 17:14:07+00:00;  https://data.edmonton.ca/d/pxmc-n397 ;2014 Census - Dwelling Units By Structure Type And Ownership (Citywide) - All Census information is as of April 1, 2014.  Ages of residents are effective April 1, 2014.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).
477;2012 Census - Dwelling Units By Structure Type And Ownership (Citywide) ; edmonton  ;213;229;2016-09-13 16:33:50+00:00;  https://data.edmonton.ca/d/sgnx-e3u2 ;2012 Census - Dwelling Units By Structure Type And Ownership (Citywide) - All Census information is as of April 1, 2012.  Ages of residents are effective April 1, 2012.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).
478;2014 Census - Population By Structure Type And Length Of Residence (Citywide) ; edmonton  ;213;157;2016-09-13 17:17:43+00:00;  https://data.edmonton.ca/d/9fnm-ns4z ;2014 Census - Population By Structure Type And Length Of Residence (Citywide) - All Census information is as of April 1, 2014.  Ages of residents are effective April 1, 2014.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).
479;Parks July 2014 - Edmonton Insight Community ; edmonton  ;210;163;2015-10-16 20:18:48+00:00;  https://data.edmonton.ca/d/fcbe-wvcw ;Parks July 2014 - Edmonton Insight Community - This was one single topic among many as part of the July 2014 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=46&t=1. Open from July 08 - 20, 2014. At the time the survey was launched survey invitations were sent to 846 Insight Community Members. 662 members completed the survey which represents a completion rate of 78%. A total of 705 respondents completed the survey: 662 Insight Community Members and 43 using the anonymous link which will have no demographic info.
480;Measuring Progress Questionnaire - City Design And Attractiveness ; edmonton  ;210;175;2016-02-09 22:03:18+00:00;  https://data.edmonton.ca/d/dcab-3vmr ;Measuring Progress Questionnaire - City Design And Attractiveness - This was survey sent to the Insight Community in conjunction with a telephone survey performed to gauge residents thoughts on the City and how they think about their city. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=182&as=yN1J0gu9Dz&t=1. Open from January 26 - February 04, 2015. At the time the survey was launched survey invitations were sent to 2215 Insight Community Members. 1127 members completed the survey which represents a completion rate of 51%. A total of 1284 respondents completed the survey: 1127 Insight Community Members and 157 using the Open link.
481;2012 Census - Population By School Residency (Citywide) ; edmonton  ;210;188;2016-09-13 16:44:28+00:00;  https://data.edmonton.ca/d/pubm-q7h7 ;2012 Census - Population By School Residency (Citywide) - All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).
482;2012 Census - Population By School Residency (Citywide) ; edmonton  ;210;188;2016-09-13 16:44:28+00:00;  https://data.edmonton.ca/d/pubm-q7h7 ;2012 Census - Population By School Residency (Citywide) - All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).
483;Drainage - Inlets/Outlets ; edmonton  ;210;116;2017-05-09 20:11:24+00:00;  https://data.edmonton.ca/d/eu53-j7sn ;Drainage - Inlets/Outlets - The location of Inlet-Outlets in the City of Edmonton. An Inlet-Outlet is a drainage facility through which stormwater enters or exits a stormwater managed feature.  The City of Edmonton provides this information based on the records retained by the City of Edmonton with respect to the matters.  The City of Edmonton provides no warranty or representation as to whether the information is correct, accurate or free from error and whether it is otherwise suitable for your use or purpose.
484;What Moves You: Let's Talk Transit  - Edmonton Insight Community ; edmonton  ;208;169;2015-10-16 20:19:16+00:00;  https://data.edmonton.ca/d/bda9-qc3b ;What Moves You: Let's Talk Transit  - Edmonton Insight Community - This was one single topic among many as part of the August 2015 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=476&as=Hp0xa33UD7&t=1. Open from August 10 - 18, 2015. At the time the survey was launched survey invitations were sent to 3275 Insight Community Members. 1329 members completed the survey which represents a completion rate of 41%. A total of 1442  respondents completed the survey: 1329 Insight Community Members and 113 using the anonymous link which will have no demographic info.
485;2014 Census - Population By Length Of Residence (Ward) ; edmonton  ;207;191;2016-09-13 16:52:33+00:00;  https://data.edmonton.ca/d/hzh2-t9d6 ;2014 Census - Population By Length Of Residence (Ward) - All Census information is as of April 1, 2014. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).
486;2014 Census - Population By Structure Type And Length Of Residence (Ward) ; edmonton  ;206;202;2016-09-13 17:17:37+00:00;  https://data.edmonton.ca/d/x7rf-b3eh ;2014 Census - Population By Structure Type And Length Of Residence (Ward) - All Census information is as of April 1, 2014. Ages of residents are effective April 1, 2014. No data on any individual residence will be released. To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only. Neighbourhood results with a population under 49 are not posted to protect the information collected. The designation of “No Response” includes households from which no census data could be collected or only partial data was available. Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).
487;Traffic Injury Information ; edmonton  ;930;108;2017-11-07 17:37:28+00:00;  https://dashboard.edmonton.ca/d/g2nn-qd2k ;Traffic Injury Information - Traffic Injury Rate measures the rate of vehicle collisions that resulted in injuries per 1,000 population. Injuries include minor, major, and fatal.
488;Edmonton Area Air Quality Readings (Historical) ; edmonton  ;204;14;2017-11-08 12:02:05+00:00;  https://data.edmonton.ca/d/44dx-d5qn ;Edmonton Area Air Quality Readings (Historical) - This dataset provides historical parameter values for stations in the Edmonton Region as determined by the Alberta Capital Airshed.  The data is collected via a web service provided by the Alberta Environmental Monitoring, Evaluation & Reporting Information Service (AEMERIS).  AEMERIS is an initial information-sharing platform designed to provide access to data on key ambient air, water, land and biodiversity indicators and related provincial environmental information and reporting data.
489;2016 Census - Population by Citizenship (Neighbourhood/Ward) ; edmonton  ;203;104;2016-10-24 22:13:57+00:00;  https://data.edmonton.ca/d/2g4b-ti2n ;2016 Census - Population by Citizenship (Neighbourhood/Ward) - All Census information is as of April 1, 2016. No data on any individual residence will be released. To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only. Neighbourhood results with a population under 50 are not posted to protect the information collected. Responses are voluntary consequently response rates vary among questions, neighbourhoods and wards.
490;Security Incidents Citizen Dashboard Data ; edmonton  ;916;102;2017-11-07 17:32:14+00:00;  https://dashboard.edmonton.ca/d/6xep-payg ;Security Incidents Citizen Dashboard Data - Transit Security measures the number of security incidents reported on transit or transit stations per 100,000 Transit rides.
491;2014 Census - Dwelling Unit By Ownership (Ward) ; edmonton  ;202;217;2016-09-13 17:14:42+00:00;  https://data.edmonton.ca/d/8kdh-wqa3 ;2014 Census - Dwelling Unit By Ownership (Ward) - All Census information is as of April 1, 2014.  Ages of residents are effective April 1, 2014.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).
492;Edmontonians' Perception Survey - Volunteerism ; edmonton  ;199;178;2017-08-04 19:46:54+00:00;  https://data.edmonton.ca/d/sezz-dkmz ;Edmontonians' Perception Survey - Volunteerism - In 2014, the City of Edmonton contracted Leger to conduct a survey of Edmontonians designed to understand perceptions on key measures relating to the quality of life in Edmonton.  This research is aimed at capturing citizen perception based performance measures which feed into the corporate performance reporting to achieve the City’s vision for 2040 (The Way Ahead). In recent years, Citizen Perception Surveys have been carried out annually to gather data and report on the measures.   Taking into account the recent modifications in performance measures as well as the focus on continuous improvement, the 2014 research was designed to:  - Measure the progress with respect to the key performance measures - Understand the drivers of the performance measures and provide recommendations about how the measures can be further improved. - Make comparisons with past measures wherever applicable
493;2014 Census - Population By Mode Of Transportation (Ward) ; edmonton  ;199;217;2016-09-13 16:56:50+00:00;  https://data.edmonton.ca/d/wu7h-ah6f ;2014 Census - Population By Mode Of Transportation (Ward) - All Census information is as of April 1, 2014. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).
494;Snow Clearing ; edmonton  ;883;82;2016-10-20 23:00:58+00:00;  https://dashboard.edmonton.ca/d/ref6-s87x ;Snow Clearing - Measures the percentage of Edmonton residential neighbourhoods that have been snow cleared after a snow event. As mandated by City Bylaw (###), 100% of residential neighbourhoods are to bladed within 7 days after a snow event. Note that the first two days after a snow event are prioritized to clear arterial and collector roads.
495;Business Licences ; edmonton  ;882;89;2017-11-14 17:02:17+00:00;  https://dashboard.edmonton.ca/d/jwmg-yacn ;Business Licences - Total number of active business linceses are defined as business licences with statuses Issued or Renewal Notices.
496;311 Information ; edmonton  ;874;73;2017-11-01 17:04:33+00:00;  https://dashboard.edmonton.ca/d/mcgy-76ui ;311 Information - 311 answer speed and call volume by month
497;Changes to Whyte Avenue - Edmonton Insight Community ; edmonton  ;192;153;2016-01-27 23:25:38+00:00;  https://data.edmonton.ca/d/phzp-tmba ;Changes to Whyte Avenue - Edmonton Insight Community - This was one single topic among many as part of the December 2015 (Part 1) Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=716&as=kP4zN8uI7V&t=1. Open from December 7 - 15, 2015. At the time the survey was launched survey invitations were sent to 1995 Insight Community Members. 691 members completed the survey which represents a completion rate of 35%. A total of 794 respondents completed the survey: 691 Insight Community Members and 103 using the anonymous link which will have no demographic info
498;Illegal Cabs - Edmonton Insight Community ; edmonton  ;192;161;2015-09-11 18:06:09+00:00;  https://data.edmonton.ca/d/r6wa-aza4 ;Illegal Cabs - Edmonton Insight Community - This was one single topic among many as part of the second October  2014 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=128&t=1. Open from Oct 20 - 26, 2014. At the time the survey was launched survey invitations were sent to 1761 Insight Community Members. 896 members completed the survey which represents a completion rate of 51%. A total of 928 respondents completed the survey: 896 Insight Community Members and 32 using the anonymous link which will have no demographic info.
499;2014 Census - Population By Employment Status (Citywide) ; edmonton  ;191;217;2016-09-13 16:56:35+00:00;  https://data.edmonton.ca/d/uqyb-cahu ;2014 Census - Population By Employment Status (Citywide) - All Census information is as of April 1, 2014. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).
500;New Years Eve Downtown - Edmonton Insight Community ; edmonton  ;186;163;2015-11-05 23:07:27+00:00;  https://data.edmonton.ca/d/6m6z-ybit ;New Years Eve Downtown - Edmonton Insight Community - This was one single topic among many as part of the August 2015 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=476&as=Hp0xa33UD7&t=1. Open from August 10 - 18, 2015. At the time the survey was launched survey invitations were sent to 3275 Insight Community Members. 1329 members completed the survey which represents a completion rate of 41%. A total of 1442  respondents completed the survey: 1329 Insight Community Members and 113 using the anonymous link which will have no demographic info.
501;Fire Rescue Information: First Unit On-Scene and First Full Alarm ; edmonton  ;821;77;2017-07-13 21:45:55+00:00;  https://dashboard.edmonton.ca/d/8ys2-jbnc ;Fire Rescue Information: First Unit On-Scene and First Full Alarm - Total Response Time is measured from when dispatch receives the call until the first pumper arrives on scene.  Fire Rescue's goal is for Total Response Time to be under 7 minutes, 90% of the time. Total Response Time is comprised of Communication Time, Turnout Time and Travel Time.   Fire Full First Alarm measures from the time the first unit left station until 16 firefighters are on scene. Fire Rescue's target is to deploy a complement of 16 firefighters on scene 8 minutes or less, 90% of the time.    *The Fire Rescue Master Plan was approved in July 2012, which included a change in first full response from 14 firefighter's on scene to 16 firefighter's on scene.   The data from July 2012 has been updated to reflect this change in methodology.
502;2016 Census - Population by Highest Educational Attainment (Neighbourhood/Ward) ; edmonton  ;180;72;2016-10-26 22:27:23+00:00;  https://data.edmonton.ca/d/f7ms-98xd ;2016 Census - Population by Highest Educational Attainment (Neighbourhood/Ward) - All Census information is as of April 1, 2016. No data on any individual residence will be released. To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only. Neighbourhood results with a population under 50 are not posted to protect the information collected. Responses are voluntary consequently response rates vary among questions, neighbourhoods and wards.
503;Total Permits ; edmonton  ;782;92;2017-11-14 16:56:38+00:00;  https://dashboard.edmonton.ca/d/heq4-cm4h ;Total Permits - Total number of applications received for development, building, and combo permits
504;Ad Awareness Survey - Edmonton Insight Community ; edmonton  ;175;171;2016-03-10 23:01:00+00:00;  https://data.edmonton.ca/d/mjva-jfq5 ;Ad Awareness Survey - Edmonton Insight Community - This was one single topic among many as part of the second October  2014 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=128&t=1. Open from Oct 20 - 26, 2014. At the time the survey was launched survey invitations were sent to 1761 Insight Community Members. 896 members completed the survey which represents a completion rate of 51%. A total of 928 respondents completed the survey: 896 Insight Community Members and 32 using the anonymous link which will have no demographic info.
505;Leisure Centres Attendance ; edmonton  ;751;80;2017-10-02 17:33:14+00:00;  https://dashboard.edmonton.ca/d/iaa7-x8kk ;Leisure Centres Attendance - Leisure Centres Attendance measures the year to date total attendance at 17 of Edmonton's leisure centres.
506;Measuring Progress Questionnaire - Overall Quality Of Life ; edmonton  ;172;170;2016-03-10 22:57:34+00:00;  https://data.edmonton.ca/d/ts29-w46g ;Measuring Progress Questionnaire - Overall Quality Of Life - This was survey sent to the Insight Community in conjunction with a telephone survey performed to gauge residents thoughts on the City and how they think about their city. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=182&as=yN1J0gu9Dz&t=1. Open from January 26 - February 04, 2015. At the time the survey was launched survey invitations were sent to 2215 Insight Community Members. 1127 members completed the survey which represents a completion rate of 51%. A total of 1284 respondents completed the survey: 1127 Insight Community Members and 157 using the Open link.
507;DATS - On Time Performance ; edmonton  ;703;75;2017-11-07 20:31:42+00:00;  https://dashboard.edmonton.ca/d/gv7r-t5a7 ;DATS - On Time Performance - Measures the percentage of monthly Disabled Adult Transit Service (DATS) pick-ups that were on time. On time is defined as actual pick-up occurring before the end of the 30 minutes pick-up window provided to clients at the time of trip booking. To be updated monthly.
508;311 Call Centre Satisfaction Survey - 2015 ; edmonton  ;161;163;2017-01-17 18:05:56+00:00;  https://data.edmonton.ca/d/sj7q-iwb5 ;311 Call Centre Satisfaction Survey - 2015 - The 311 Call Centre Satisfaction Study is a random telephone survey asking citizen’s opinions of the 311 service in order to measure current performance, track progress and identify any areas for service improvement.
509;2016 Census - Population by Single Year of Age and Gender (Neighbourhood/Ward) ; edmonton  ;165;80;2016-10-24 22:20:10+00:00;  https://data.edmonton.ca/d/7r3v-fetr ;2016 Census - Population by Single Year of Age and Gender (Neighbourhood/Ward) - All Census information is as of April 1, 2016. No data on any individual residence will be released. To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only. Neighbourhood results with a population under 50 are not posted to protect the information collected. Responses are voluntary consequently response rates vary among questions, neighbourhoods and wards.
510;Street Sweeping ; edmonton  ;685;79;2017-05-26 16:42:57+00:00;  https://dashboard.edmonton.ca/d/hhjj-czpq ;Street Sweeping - Every spring, all City streets are cleared of sand and debris according to City Policy C550 that have accumulated over the winter. Street sweeping began in early April and is scheduled to wrap up by June 1, weather permitting.
511;Drones - Edmonton Insight Community ; edmonton  ;160;162;2016-03-10 23:01:55+00:00;  https://data.edmonton.ca/d/r7s9-vh96 ;Drones - Edmonton Insight Community - This was one single topic among many as part of the August 2015 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=476&as=Hp0xa33UD7&t=1. Open from August 10 - 18, 2015. At the time the survey was launched survey invitations were sent to 3275 Insight Community Members. 1329 members completed the survey which represents a completion rate of 41%. A total of 1442  respondents completed the survey: 1329 Insight Community Members and 113 using the anonymous link which will have no demographic info.
512;Risk Management - Pothole Payout Claims ; edmonton  ;160;153;2016-01-27 23:26:13+00:00;  https://data.edmonton.ca/d/t2dn-x2z2 ;Risk Management - Pothole Payout Claims - This data-set provides information on the total amount of monthly payouts made for pothole claims in the City.
513;2014 Census - Population By Ownership And Length Of Residence (Ward) ; edmonton  ;159;173;2016-10-24 21:54:18+00:00;  https://data.edmonton.ca/d/hd78-7y4x ;2014 Census - Population By Ownership And Length Of Residence (Ward) - All Census information is as of April 1, 2014.  Ages of residents are effective April 1, 2014.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).
514;2016 Edmonton By-Election for Ward 12 - Results Details (by Voting Station) ; edmonton  ;159;168;2016-03-09 21:47:52+00:00;  https://data.edmonton.ca/d/qvzm-pw89 ;2016 Edmonton By-Election for Ward 12 - Results Details (by Voting Station) - Official Results from the 2016 Edmonton Municipal Ward 12 By-Elections. Results are displayed for each Candidate, by Race and by Voting Station.
515;ETS Bus Schedule GTFS Data Feed - Stop Times (With Datetime Type) ; edmonton  ;158;17;2017-11-17 11:25:54+00:00;  https://data.edmonton.ca/d/greh-g7ac ;ETS Bus Schedule GTFS Data Feed - Stop Times (With Datetime Type) - This dataset lists the times that a vehicle arrives at and departs from individual stops for each trip in Edmonton.
516; Edmonton C; edmonton  ;662;50;2016-12-22 16:52:29+00:00;  https://dashboard.edmonton.ca/d/mucq-an6s ;Vacancy Rate Edmonton CMA
517; Edmonton C; edmonton  ;654;59;2017-10-20 17:03:04+00:00;  https://dashboard.edmonton.ca/d/wu24-r6ym ;Labour Force Edmonton CMA
518;2016 Census - Population by Employment Status (Neighbourhood/Ward) ; edmonton  ;152;99;2016-10-24 22:14:43+00:00;  https://data.edmonton.ca/d/i88k-yen7 ;2016 Census - Population by Employment Status (Neighbourhood/Ward) - All Census information is as of April 1, 2016. No data on any individual residence will be released. To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only. Neighbourhood results with a population under 50 are not posted to protect the information collected. Responses are voluntary consequently response rates vary among questions, neighbourhoods and wards.
519;TWWG Spills ; edmonton  ;579;47;2015-01-12 18:07:00+00:00;  https://dashboard.edmonton.ca/d/b67p-mc9c ;TWWG Spills - Whenever a spill occurs, one that adversely affects the environment, the City is required to report the incident to Alberta Environment and Sustainable Resource Development. The City actively tries to minimize the negative impacts that spills can cause to the environment, human health and safety or property. The City of Edmonton attempts to exceed these requirements by encouraging employees and contractors to report all releases, no matter the size or extent of impact, to a City 24/7 operated call center.
520;TWWG Solar ; edmonton  ;577;78;2016-01-13 20:52:17+00:00;  https://dashboard.edmonton.ca/d/vbfi-n5yu ;TWWG Solar - The amount of solar photovoltaic (PV) installed provides an indication of the amount of low carbon and local electricity that is being added to the Edmonton area annually. Increasing solar energy generation is a goal of The Way We Green and can be an indicator of the increasing diversity of our energy system. As solar PV becomes more affordable, installations are increasing at an accelerated rate.
521;Media Releases - Edmonton Insight Community ; edmonton  ;140;73;2016-05-18 22:39:06+00:00;  https://data.edmonton.ca/d/6qc2-syqq ;Media Releases - Edmonton Insight Community - This was one single topic among many as part of the January 2016 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=781&as=xO8PE4P0eW&t=1. Open from January 11 - 19, 2016. At the time the survey was launched survey invitations were sent to 4255 Insight Community Members. 1647 members completed the survey which represents a completion rate of 39%. A total of 1698 respondents completed the survey: 1647 Insight Community Members and 51 using the anonymous link which will have no demographic info.
522;2016 Census - Population by Employment Sector ( Neighbourhood/Ward) ; edmonton  ;140;64;2016-10-24 22:14:20+00:00;  https://data.edmonton.ca/d/7ds8-hpvz ;2016 Census - Population by Employment Sector ( Neighbourhood/Ward) - All Census information is as of April 1, 2016. No data on any individual residence will be released. To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only. Neighbourhood results with a population under 50 are not posted to protect the information collected. Responses are voluntary consequently response rates vary among questions, neighbourhoods and wards.
523; Edmonton ; edmonton  ;138;41;2017-10-16 21:57:18+00:00;  https://data.edmonton.ca/d/y8je-etk2 ;2017 Edmonton General Election - Unofficial Results - Sample
524;Major Attractions Attendance ; edmonton  ;563;71;2017-10-02 17:30:33+00:00;  https://dashboard.edmonton.ca/d/jy6g-t358 ;Major Attractions Attendance - Major Attractions Attendance measures year to date attendance at major City of Edmonton attractions which include Fort Edmonton Park, John Janzen Nature Centre, Muttart Conservatory and the Edmonton Valley Zoo.
525;ns; edmonton  ;557;66;2017-06-20 15:17:40+00:00;  https://dashboard.edmonton.ca/d/4b36-t359 ;Lot Grading Inspections
526;Traffic Safety: Intersection Collision Rate ; edmonton  ;552;75;2017-11-07 17:59:27+00:00;  https://dashboard.edmonton.ca/d/pjek-bnfs ;Traffic Safety: Intersection Collision Rate - Vehicle Collision Rate measures the rate of vehicle collisions at intersections per 1,000 population.
527;Housing Sales City Of Edmonton ; edmonton  ;550;79;2016-09-09 15:26:13+00:00;  https://dashboard.edmonton.ca/d/6x4g-s3n2 ;Housing Sales City Of Edmonton - Housing sales shows the number of residential units sold through Multiple Listing Service (MLS) in any given month. This indicator shows the seasonally adjusted estimates for the City of Edmonton.
528;Measuring Progress Questionnaire - Connectedness ; edmonton  ;134;176;2016-02-09 22:02:49+00:00;  https://data.edmonton.ca/d/wbka-w96p ;Measuring Progress Questionnaire - Connectedness - This was survey sent to the Insight Community in conjunction with a telephone survey performed to gauge residents thoughts on the City and how they think about their city. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=182&as=yN1J0gu9Dz&t=1. Open from January 26 - February 04, 2015. At the time the survey was launched survey invitations were sent to 2215 Insight Community Members. 1127 members completed the survey which represents a completion rate of 51%. A total of 1284 respondents completed the survey: 1127 Insight Community Members and 157 using the Open link.
529;All Photo Enforcement Zone Centre Points ; edmonton  ;133;16;2017-11-17 22:49:11+00:00;  https://data.edmonton.ca/d/epqc-y5cq ;All Photo Enforcement Zone Centre Points - This dataset represents the centre points of each Zone or Operational Area where Photo Enforcement is conducted.  An enforcement unit can be found anywhere along the area of the Zone, thus the actual range of enforcement would extend beyond the indicated area of the zone.  The centre points are extracted for mapping purposes only and are not intended to imply or suggest that is where the Photo Enforcement is being conducted.  Designated Zones are continuously reviewed, revised, added, removed and otherwise updated in accordance to the guidelines for establishing a Zone for photo enforcement.  Please refer to the FAQ the City has available in regards to Photo Enforcement.  https://www.edmonton.ca/transportation/Mobile_Photo_Enforcement_FAQ.pdf
530;Community Greenhouse Gas Emissions ; edmonton  ;538;64;2016-06-15 16:23:24+00:00;  https://dashboard.edmonton.ca/d/mg8q-us7m ;Community Greenhouse Gas Emissions - The total amount of greenhouse gas emissions is derived from the emissions from landfills and the use of fossil fuels (natural gas, grid electricity, and vehicle fuels) within the City of Edmonton boundary.To be updated yearly.
531;Assessment And Short Term Counselling ; edmonton  ;534;58;2017-07-13 21:35:11+00:00;  https://dashboard.edmonton.ca/d/gv6h-cphf ;Assessment And Short Term Counselling - Assessment Short-Term Counselling measures the number of citizens supported through Assessment and Short Term Counselling provided by the City of Edmonton.
